contract_id,date,department,vendor_name,amount,category,description,budget,bidders_count
C0029,2024-07-21,Health,BuildCo Infrastructure,1874334,Maintenance,Purchase of 54 vehicles for government offices,2006985,3
C0030,2024-04-19,PWD,EduSupply Solutions,1079977,Maintenance,Purchase of 239 medicines for government offices,1149648,4
C0031,2024-12-26,PWD,DataSystems India,8023469,Medical Supplies,Purchase of 389 laptops for government offices,8474576,5
C0032,2024-02-24,IT Department,HealthFirst Products,881704,Infrastructure,Purchase of 154 furniture for government offices,906945,5
C0033,2024-05-08,Agriculture,GreenTech Industries,413844,Construction,Purchase of 72 laptops for government offices,415940,5
C0034,2024-11-22,Health,BuildCo Infrastructure,1022369,Construction,Purchase of 337 laptops for government offices,1044573,6
C0035,2024-10-06,Agriculture,PrimeVendor Corporation,4700000,IT Equipment,Emergency procurement of supplies for department,2109935,1
C0036,2024-07-02,PWD,PrimeVendor Corporation,1000080,Office Supplies,Purchase of 497 vehicles for government offices,996057,7
C0037,2024-03-24,Transport,DataSystems India,1064424,Construction,Purchase of 450 vehicles for government offices,1014632,5
C0038,2024-12-25,Transport,QuickOffice Supplies,1300000,IT Equipment,Immediate procurement of supplies for department,650595,2
C0039,2024-12-03,Social Welfare,Urban Builders,1767161,Maintenance,Purchase of 229 furniture for government offices,1694751,5
C0040,2024-06-18,Health,TechCorp Services,531555,Furniture,Purchase of 185 laptops for government offices,523027,7
C0041,2024-06-25,Transport,DataSystems India,1861836,IT Equipment,Purchase of 247 servers for government offices,2006967,3
C0042,2024-12-28,Health,Urban Builders,10776725,Vehicles,Purchase of 236 vehicles for government offices,10992246,4
C0043,2024-11-15,Agriculture,Auto Parts Ltd,507963,Services,Purchase of 391 vehicles for government offices,502396,5
C0044,2024-10-10,IT Department,Auto Parts Ltd,4997394,Maintenance,Purchase of 365 servers for government offices,4993840,4
C0045,2024-01-01,Urban Development,Urban Builders,928966,Office Supplies,Purchase of 288 vehicles for government offices,952559,5
C0046,2024-09-18,Transport,Urban Builders,997655,Services,Purchase of 221 laptops for government offices,984577,7
C0047,2024-04-25,Urban Development,Auto Parts Ltd,807327,Office Supplies,Purchase of 362 laptops for government offices,792657,6
C0048,2024-12-22,Social Welfare,QuickOffice Supplies,4365976,Construction,Purchase of 434 laptops for government offices,4520040,3
C0049,2024-12-22,Urban Development,Urban Builders,483610,Maintenance,Purchase of 283 desks for government offices,517110,3
C0050,2024-10-13,Urban Development,PrimeVendor Corporation,4918978,Construction,Purchase of 268 servers for government offices,5132981,7
C0051,2024-08-31,Transport,DataSystems India,1051958,Infrastructure,Purchase of 298 furniture for government offices,1037283,7
C0052,2024-02-09,PWD,QuickOffice Supplies,881514,Furniture,Purchase of 91 desks for government offices,874075,7
C0053,2024-12-21,Education,QuickOffice Supplies,819268,Furniture,Purchase of 288 vehicles for government offices,821715,7
C0054,2024-07-18,Education,PharmaCo Enterprises,10838186,Services,Purchase of 244 vehicles for government offices,10323796,7
C0055,2024-07-18,Transport,DataSystems India,4807330,Furniture,Purchase of 162 vehicles for government offices,5026075,7
C0056,2024-09-05,Education,PrimeVendor Corporation,5000000,Furniture,Critical procurement of equipment for department,3201446,1
C0057,2024-10-30,IT Department,Auto Parts Ltd,412592,Vehicles,Purchase of 143 laptops for government offices,414951,6
C0058,2024-04-18,Urban Development,ABC Technologies Pvt Ltd,2056737,Maintenance,Purchase of 179 laptops for government offices,2055269,6
C0059,2024-01-27,Transport,QuickOffice Supplies,1734533,IT Equipment,Purchase of 436 laptops for government offices,1663279,3
C0060,2024-11-14,IT Department,GreenTech Industries,942068,Vehicles,Purchase of 288 furniture for government offices,908973,4
C0061,2024-03-26,Education,PrimeVendor Corporation,516668,Services,Purchase of 105 servers for government offices,501834,5
C0062,2024-10-21,Transport,BuildCo Infrastructure,4594981,Services,Purchase of 353 furniture for government offices,4792344,3
C0063,2024-12-16,Social Welfare,Urban Builders,519434,Vehicles,Purchase of 227 servers for government offices,531677,3
C0064,2024-02-05,Agriculture,Urban Builders,1607591,Infrastructure,Purchase of 104 vehicles for government offices,1614998,6
C0065,2024-12-28,Urban Development,EduSupply Solutions,1020138,Furniture,Purchase of 365 servers for government offices,1097170,5
C0066,2024-10-30,Social Welfare,PharmaCo Enterprises,1049219,IT Equipment,Purchase of 174 vehicles for government offices,1008578,6
C0067,2024-09-10,IT Department,HealthFirst Products,946264,IT Equipment,Purchase of 224 medicines for government offices,942599,5
C0068,2024-09-21,Urban Development,Urban Builders,436203,Infrastructure,Purchase of 438 desks for government offices,437439,7
C0069,2024-08-17,Agriculture,EduSupply Solutions,444135,Maintenance,Purchase of 206 furniture for government offices,445277,4
C0070,2024-09-28,Transport,BuildCo Infrastructure,8992373,Office Supplies,Purchase of 206 medicines for government offices,9364397,5
C0071,2024-06-10,IT Department,Digital Solutions Inc,29200000,Maintenance,Urgent procurement of furniture for department,17764175,1
C0072,2024-11-01,Education,Digital Solutions Inc,524894,Maintenance,Purchase of 141 medicines for government offices,518864,5
C0073,2024-03-05,Health,SmartCity Developers,483003,IT Equipment,Purchase of 376 vehicles for government offices,502643,4
C0074,2024-10-20,Health,SmartCity Developers,4660703,Medical Supplies,Purchase of 179 vehicles for government offices,4539372,3
C0075,2024-07-24,IT Department,BuildCo Infrastructure,9888337,Office Supplies,Purchase of 465 servers for government offices,9462833,4
C0076,2024-03-01,Social Welfare,EduSupply Solutions,4909476,Infrastructure,Purchase of 447 servers for government offices,5168678,4
C0077,2024-06-01,Transport,Urban Builders,4458070,Office Supplies,Purchase of 428 laptops for government offices,4595082,7
C0078,2024-05-15,Urban Development,Digital Solutions Inc,871959,Infrastructure,Purchase of 51 vehicles for government offices,890931,4
C0079,2024-05-29,IT Department,GreenTech Industries,5100000,Office Supplies,Emergency procurement of equipment for department,3128318,2
C0080,2024-08-05,PWD,GreenTech Industries,2400000,Services,Emergency procurement of laptops for department,1662109,1
C0081,2024-10-31,Social Welfare,DataSystems India,10763577,Maintenance,Purchase of 402 medicines for government offices,10839890,6
C0082,2024-10-03,Education,BuildCo Infrastructure,489705,Office Supplies,Purchase of 359 medicines for government offices,521841,5
C0083,2024-12-11,PWD,EduSupply Solutions,9761368,Maintenance,Purchase of 345 laptops for government offices,9299625,5
C0084,2024-11-29,Agriculture,Auto Parts Ltd,1708893,Vehicles,Purchase of 96 vehicles for government offices,1753482,6
C0085,2024-06-13,Education,EduSupply Solutions,898941,Medical Supplies,Purchase of 389 vehicles for government offices,935058,5
C0086,2024-06-10,Urban Development,Auto Parts Ltd,545527,IT Equipment,Purchase of 472 laptops for government offices,546914,7
C0087,2024-04-06,PWD,PrimeVendor Corporation,10269329,Services,Purchase of 154 medicines for government offices,10590791,3
C0088,2024-08-12,PWD,DataSystems India,4182139,Maintenance,Purchase of 459 desks for government offices,4502110,7
C0089,2024-01-08,PWD,EduSupply Solutions,433705,Services,Purchase of 286 laptops for government offices,459459,3
C0090,2024-09-17,PWD,Auto Parts Ltd,5252085,Office Supplies,Purchase of 283 servers for government offices,5658763,4
C0091,2024-11-02,IT Department,SmartCity Developers,1059208,IT Equipment,Purchase of 224 servers for government offices,1044286,6
C0092,2024-05-24,Urban Development,PharmaCo Enterprises,9739770,Vehicles,Purchase of 278 servers for government offices,10088378,4
C0093,2024-10-09,Social Welfare,QuickOffice Supplies,4683016,Furniture,Purchase of 407 desks for government offices,4644760,4
C0094,2024-01-23,PWD,EduSupply Solutions,5057841,IT Equipment,Purchase of 389 furniture for government offices,5338465,6
C0095,2024-03-05,Urban Development,ABC Technologies Pvt Ltd,8995984,Construction,Purchase of 101 servers for government offices,8663558,6
C0096,2024-07-28,Social Welfare,Urban Builders,822448,Medical Supplies,Purchase of 223 servers for government offices,864884,5
C0097,2024-06-17,Education,TechCorp Services,9140028,Medical Supplies,Purchase of 496 servers for government offices,9059284,6
C0098,2024-04-30,Health,EduSupply Solutions,2198455,Construction,Purchase of 100 furniture for government offices,2301957,6
C0099,2024-12-21,Social Welfare,Medicare Corporation,406898,Office Supplies,Purchase of 233 medicines for government offices,428666,5
C0100,2024-09-28,Transport,EduSupply Solutions,850995,Construction,Purchase of 367 furniture for government offices,817181,6
C0101,2024-04-28,PWD,BuildCo Infrastructure,1875742,Infrastructure,Purchase of 197 furniture for government offices,1944561,6
C0102,2024-06-25,Transport,Auto Parts Ltd,1983363,Infrastructure,Purchase of 283 medicines for government offices,1993597,5
C0103,2024-02-24,Social Welfare,DataSystems India,9076877,IT Equipment,Purchase of 61 furniture for government offices,8972160,5
C0104,2024-10-16,Agriculture,QuickOffice Supplies,536592,Office Supplies,Purchase of 447 desks for government offices,561743,5
C0105,2024-11-13,Education,TechCorp Services,988474,Vehicles,Purchase of 208 vehicles for government offices,1055139,3
C0106,2024-03-08,Agriculture,HealthFirst Products,3900000,Maintenance,Urgent procurement of vehicles for department,2088193,1
C0107,2024-05-19,Health,EduSupply Solutions,2148429,Medical Supplies,Purchase of 432 medicines for government offices,2304715,5
C0108,2024-03-13,Agriculture,BuildCo Infrastructure,1058042,Furniture,Purchase of 483 servers for government offices,1104752,6
C0109,2024-01-08,Agriculture,BuildCo Infrastructure,468217,Office Supplies,Purchase of 349 vehicles for government offices,485760,5
C0110,2024-08-29,Social Welfare,BuildCo Infrastructure,19900000,Construction,Critical procurement of supplies for department,11613906,1
C0111,2024-01-24,Social Welfare,EduSupply Solutions,2197556,Vehicles,Purchase of 325 desks for government offices,2120851,4
C0112,2024-12-09,Health,SmartCity Developers,9257380,Infrastructure,Purchase of 262 furniture for government offices,9687801,4
C0113,2024-11-11,Agriculture,BuildCo Infrastructure,1619629,Vehicles,Purchase of 277 desks for government offices,1616663,6
C0114,2024-10-05,Health,Urban Builders,1636330,Office Supplies,Purchase of 484 vehicles for government offices,1613199,3
C0115,2024-11-24,Transport,BuildCo Infrastructure,407586,Maintenance,Purchase of 452 servers for government offices,404878,4
C0116,2024-04-16,PWD,Medicare Corporation,898567,Maintenance,Purchase of 51 medicines for government offices,870875,7
C0117,2024-05-08,Agriculture,ABC Technologies Pvt Ltd,499158,Construction,Purchase of 233 desks for government offices,475872,3
C0118,2024-05-15,Health,EduSupply Solutions,11400000,Maintenance,Critical procurement of supplies for department,7138641,2
C0119,2024-04-23,Education,ABC Technologies Pvt Ltd,509086,Infrastructure,Purchase of 204 vehicles for government offices,543773,7
C0120,2024-07-24,PWD,BuildCo Infrastructure,473540,Construction,Purchase of 91 medicines for government offices,505864,3
C0121,2024-05-20,Urban Development,HealthFirst Products,9645069,Furniture,Purchase of 321 medicines for government offices,9570552,7
C0122,2024-02-20,Social Welfare,EduSupply Solutions,527918,Office Supplies,Purchase of 419 desks for government offices,546194,7
C0123,2024-07-30,IT Department,PharmaCo Enterprises,4598095,Construction,Purchase of 268 medicines for government offices,4804317,5
C0124,2024-12-17,Agriculture,GreenTech Industries,413683,Construction,Purchase of 99 furniture for government offices,397589,6
C0125,2024-10-11,Education,DataSystems India,23400000,Services,Immediate procurement of furniture for department,14078668,2
C0126,2024-06-29,Agriculture,BuildCo Infrastructure,18100000,Services,Emergency procurement of supplies for department,10860455,1
C0127,2024-10-20,Education,TechCorp Services,5267732,Services,Purchase of 364 furniture for government offices,5671719,7
C0128,2024-01-15,Social Welfare,BuildCo Infrastructure,2152922,Construction,Purchase of 495 desks for government offices,2143520,4
C0129,2024-11-20,PWD,PharmaCo Enterprises,511916,Services,Purchase of 282 medicines for government offices,500637,6
C0130,2024-06-15,Education,Urban Builders,9788671,Medical Supplies,Purchase of 130 servers for government offices,10423314,4
C0131,2024-05-19,Health,PharmaCo Enterprises,4728492,Furniture,Purchase of 160 servers for government offices,4763793,5
C0132,2024-02-26,Education,ABC Technologies Pvt Ltd,9459898,Office Supplies,Purchase of 162 vehicles for government offices,9807333,3
C0133,2024-06-03,Social Welfare,Medicare Corporation,1029248,Construction,Purchase of 53 vehicles for government offices,1016514,3
C0134,2024-07-13,Education,Auto Parts Ltd,950078,IT Equipment,Purchase of 86 vehicles for government offices,1005501,5
C0135,2024-08-23,Social Welfare,ABC Technologies Pvt Ltd,1945455,Vehicles,Purchase of 198 laptops for government offices,1993200,6
C0136,2024-03-28,Health,QuickOffice Supplies,9380290,Furniture,Purchase of 95 vehicles for government offices,9752211,5
C0137,2024-10-28,PWD,BuildCo Infrastructure,459365,Maintenance,Purchase of 163 medicines for government offices,454925,5
C0138,2024-11-20,Health,Medicare Corporation,17900000,Services,Urgent procurement of equipment for department,11333759,1
C0139,2024-04-11,Urban Development,EduSupply Solutions,1028064,Infrastructure,Purchase of 445 furniture for government offices,1064268,4
C0140,2024-12-14,Agriculture,Medicare Corporation,9928975,Infrastructure,Purchase of 492 furniture for government offices,10705908,5
C0141,2024-02-04,IT Department,EduSupply Solutions,2077797,Infrastructure,Purchase of 309 laptops for government offices,2133657,5
C0142,2024-01-20,Education,EduSupply Solutions,3200000,Office Supplies,Critical procurement of furniture for department,2129585,1
C0143,2024-06-13,Health,HealthFirst Products,8452583,Construction,Purchase of 465 medicines for government offices,8097942,3
C0144,2024-01-21,Agriculture,PrimeVendor Corporation,5486479,Services,Purchase of 131 medicines for government offices,5585942,7
C0145,2024-07-17,Health,HealthFirst Products,2007338,Furniture,Purchase of 83 medicines for government offices,1920636,5
C0146,2024-05-25,Agriculture,DataSystems India,10619838,Furniture,Purchase of 389 desks for government offices,10549078,7
C0147,2024-03-07,Health,Urban Builders,446437,Furniture,Purchase of 466 desks for government offices,445976,5
C0148,2024-09-17,Transport,QuickOffice Supplies,1785319,Construction,Purchase of 442 vehicles for government offices,1916811,5
C0149,2024-03-20,PWD,TechCorp Services,1100000,Furniture,Immediate procurement of vehicles for department,635413,1
C0150,2024-03-19,Agriculture,Urban Builders,10427131,Office Supplies,Purchase of 72 vehicles for government offices,10130167,6
C0151,2024-08-15,Agriculture,Urban Builders,4351004,Infrastructure,Purchase of 477 desks for government offices,4268734,6
C0152,2024-08-24,PWD,SmartCity Developers,4754360,Services,Purchase of 468 desks for government offices,4775402,4
C0153,2024-01-27,IT Department,BuildCo Infrastructure,1932724,Construction,Purchase of 485 laptops for government offices,1861863,7
C0154,2024-05-19,Agriculture,PrimeVendor Corporation,8442045,IT Equipment,Purchase of 468 vehicles for government offices,8500053,4
C0155,2024-07-31,Education,PharmaCo Enterprises,20600000,Medical Supplies,Immediate procurement of equipment for department,10631366,1
C0156,2024-12-31,Urban Development,EduSupply Solutions,841279,IT Equipment,Purchase of 406 desks for government offices,830589,6
C0157,2024-02-10,Transport,DataSystems India,2700000,Medical Supplies,Emergency procurement of supplies for department,1554143,2
C0158,2024-01-25,Education,Urban Builders,9371340,Maintenance,Purchase of 355 servers for government offices,9037828,6
C0159,2024-10-21,Social Welfare,Medicare Corporation,887381,Medical Supplies,Purchase of 173 servers for government offices,843192,5
C0160,2024-09-25,Social Welfare,SmartCity Developers,543010,Infrastructure,Purchase of 333 laptops for government offices,554266,7
C0161,2024-01-23,Health,GreenTech Industries,1752190,Vehicles,Purchase of 226 desks for government offices,1668280,3
C0162,2024-03-09,PWD,BuildCo Infrastructure,20000000,Infrastructure,Critical procurement of equipment for department,11903138,2
C0163,2024-01-19,Social Welfare,SmartCity Developers,518666,Maintenance,Purchase of 208 servers for government offices,552458,5
C0164,2024-08-30,Agriculture,DataSystems India,885833,Medical Supplies,Purchase of 493 furniture for government offices,940823,3
C0165,2024-07-07,Urban Development,Digital Solutions Inc,5114961,Infrastructure,Purchase of 223 desks for government offices,5454097,6
C0166,2024-07-07,PWD,HealthFirst Products,8800162,Services,Purchase of 90 vehicles for government offices,8454663,6
C0167,2024-06-13,Agriculture,EduSupply Solutions,4900000,IT Equipment,Urgent procurement of furniture for department,2451261,2
C0168,2024-06-29,Social Welfare,PharmaCo Enterprises,4411833,Maintenance,Purchase of 88 furniture for government offices,4753324,3
C0169,2024-12-13,Health,QuickOffice Supplies,421416,Vehicles,Purchase of 67 desks for government offices,433630,6
C0170,2024-07-04,Urban Development,GreenTech Industries,8097155,Medical Supplies,Purchase of 239 medicines for government offices,7853810,6
C0171,2024-10-20,PWD,EduSupply Solutions,1838820,Maintenance,Purchase of 108 laptops for government offices,1902154,4
C0172,2024-07-17,IT Department,Digital Solutions Inc,439266,Infrastructure,Purchase of 159 servers for government offices,432166,6
C0173,2024-04-12,Agriculture,Urban Builders,467806,Vehicles,Purchase of 94 furniture for government offices,499068,6
C0174,2024-12-29,Transport,BuildCo Infrastructure,19300000,Office Supplies,Urgent procurement of supplies for department,9483911,1
C0175,2024-03-12,PWD,TechCorp Services,4039426,Medical Supplies,Purchase of 289 servers for government offices,4128385,5
C0176,2024-02-03,Agriculture,Urban Builders,4788543,Medical Supplies,Purchase of 87 desks for government offices,5027928,7
C0177,2024-08-18,PWD,GreenTech Industries,9033544,Construction,Purchase of 377 servers for government offices,9612908,7
C0178,2024-08-09,Agriculture,PrimeVendor Corporation,524708,Office Supplies,Purchase of 134 desks for government offices,533813,5
C0179,2024-06-26,IT Department,Medicare Corporation,10684777,Services,Purchase of 150 furniture for government offices,11325557,5
C0180,2024-11-10,Agriculture,SmartCity Developers,9922962,IT Equipment,Purchase of 128 desks for government offices,10190237,7
C0181,2024-01-15,IT Department,Urban Builders,18900000,Services,Emergency procurement of furniture for department,8787635,2
C0182,2024-09-04,Social Welfare,EduSupply Solutions,4446150,Infrastructure,Purchase of 130 vehicles for government offices,4266020,3
C0183,2024-04-14,Agriculture,HealthFirst Products,893774,Maintenance,Purchase of 254 desks for government offices,932552,5
C0184,2024-02-24,IT Department,Auto Parts Ltd,4183782,Furniture,Purchase of 99 laptops for government offices,4219124,4
C0185,2024-05-07,Urban Development,HealthFirst Products,1044043,Infrastructure,Purchase of 147 desks for government offices,1118574,5
C0186,2024-09-12,Transport,TechCorp Services,4034764,Vehicles,Purchase of 284 desks for government offices,4328818,7
C0187,2024-01-25,Education,SmartCity Developers,11900000,Medical Supplies,Immediate procurement of vehicles for department,7822109,2
C0188,2024-08-08,Education,TechCorp Services,2036504,Maintenance,Purchase of 73 vehicles for government offices,2136906,5
C0189,2024-04-09,Health,Medicare Corporation,1644119,Medical Supplies,Purchase of 193 servers for government offices,1669690,7
C0190,2024-07-20,Social Welfare,HealthFirst Products,1934699,IT Equipment,Purchase of 151 servers for government offices,1929918,4
C0191,2024-01-24,Agriculture,Medicare Corporation,5400000,Furniture,Urgent procurement of supplies for department,3007931,1
C0192,2024-11-11,IT Department,EduSupply Solutions,1956234,IT Equipment,Purchase of 322 vehicles for government offices,1987437,7
C0193,2024-07-07,IT Department,Urban Builders,546984,Office Supplies,Purchase of 355 vehicles for government offices,561140,3
C0194,2024-01-27,Transport,ABC Technologies Pvt Ltd,957269,Medical Supplies,Purchase of 125 furniture for government offices,999153,6
C0195,2024-04-07,Urban Development,SmartCity Developers,4200000,IT Equipment,Critical procurement of vehicles for department,2229845,1
C0196,2024-12-27,Agriculture,Medicare Corporation,968266,Infrastructure,Purchase of 319 vehicles for government offices,1045490,6
C0197,2024-09-29,Transport,QuickOffice Supplies,2005521,Services,Purchase of 362 vehicles for government offices,2131457,5
C0198,2024-10-12,Agriculture,HealthFirst Products,2062704,Services,Purchase of 212 vehicles for government offices,2148589,6
C0199,2024-05-27,IT Department,ABC Technologies Pvt Ltd,9139082,Services,Purchase of 445 desks for government offices,9846637,5
C0200,2024-12-31,IT Department,PrimeVendor Corporation,12400000,Maintenance,Urgent procurement of vehicles for department,7752452,1
C0201,2024-12-22,Transport,Urban Builders,492351,Office Supplies,Purchase of 75 furniture for government offices,505293,4
C0202,2024-01-27,PWD,Auto Parts Ltd,5100000,Infrastructure,Emergency procurement of vehicles for department,2216234,1
C0203,2024-09-01,Transport,HealthFirst Products,1792700,IT Equipment,Purchase of 383 servers for government offices,1853592,3
C0204,2024-03-30,PWD,PrimeVendor Corporation,1080176,Services,Purchase of 453 vehicles for government offices,1031270,6
C0205,2024-01-20,Urban Development,PrimeVendor Corporation,24000000,Construction,Immediate procurement of furniture for department,16313199,1
C0206,2024-09-15,PWD,ABC Technologies Pvt Ltd,1042644,Vehicles,Purchase of 381 medicines for government offices,1035333,6
C0207,2024-05-31,Agriculture,BuildCo Infrastructure,852648,Furniture,Purchase of 473 vehicles for government offices,904914,6
C0208,2024-12-08,Transport,EduSupply Solutions,2200000,Services,Immediate procurement of furniture for department,1508659,1
C0209,2024-06-17,Health,EduSupply Solutions,8034307,Services,Purchase of 81 furniture for government offices,8315337,4
C0210,2024-03-22,IT Department,PharmaCo Enterprises,10769318,Office Supplies,Purchase of 403 laptops for government offices,11473784,5
C0211,2024-04-22,Urban Development,GreenTech Industries,4229778,Maintenance,Purchase of 241 vehicles for government offices,4429446,7
C0212,2024-12-06,Agriculture,BuildCo Infrastructure,1004102,Medical Supplies,Purchase of 319 vehicles for government offices,1031670,3
C0213,2024-02-01,Urban Development,BuildCo Infrastructure,8606470,Office Supplies,Purchase of 217 servers for government offices,8776583,4
C0214,2024-10-25,Urban Development,TechCorp Services,9336448,IT Equipment,Purchase of 312 vehicles for government offices,8937152,4
C0215,2024-10-13,Health,ABC Technologies Pvt Ltd,2033968,Furniture,Purchase of 431 desks for government offices,2036964,3
C0216,2024-06-25,IT Department,Auto Parts Ltd,10982370,Construction,Purchase of 291 laptops for government offices,11767562,3
C0217,2024-03-10,Social Welfare,BuildCo Infrastructure,4561691,Maintenance,Purchase of 495 vehicles for government offices,4862184,6
C0218,2024-03-09,Transport,SmartCity Developers,1671179,IT Equipment,Purchase of 320 desks for government offices,1803319,6
C0219,2024-01-12,Transport,EduSupply Solutions,5010249,Vehicles,Purchase of 244 desks for government offices,5114351,7
C0220,2024-03-20,Transport,QuickOffice Supplies,404832,Medical Supplies,Purchase of 442 laptops for government offices,419335,7
C0221,2024-02-21,Education,Auto Parts Ltd,4896677,Infrastructure,Purchase of 175 furniture for government offices,5099532,3
C0222,2024-04-29,Agriculture,TechCorp Services,421020,Vehicles,Purchase of 467 furniture for government offices,454344,4
C0223,2024-05-01,Education,HealthFirst Products,1095708,Construction,Purchase of 203 medicines for government offices,1115170,6
C0224,2024-11-16,Agriculture,Digital Solutions Inc,9486862,Furniture,Purchase of 452 servers for government offices,10211636,6
C0225,2024-07-28,IT Department,SmartCity Developers,4275818,Construction,Purchase of 484 desks for government offices,4361037,4
C0226,2024-08-25,Transport,DataSystems India,9238032,Office Supplies,Purchase of 118 vehicles for government offices,9276333,7
C0227,2024-06-18,Social Welfare,Urban Builders,5270700,IT Equipment,Purchase of 76 medicines for government offices,5070520,4
C0228,2024-02-07,IT Department,PrimeVendor Corporation,10172915,IT Equipment,Purchase of 156 medicines for government offices,10403337,6
C0229,2024-04-18,Transport,Auto Parts Ltd,512031,Office Supplies,Purchase of 406 servers for government offices,536640,4
C0230,2024-10-09,Agriculture,HealthFirst Products,1828397,Infrastructure,Purchase of 207 medicines for government offices,1863821,5
C0231,2024-08-26,Social Welfare,ABC Technologies Pvt Ltd,13200000,Office Supplies,Immediate procurement of supplies for department,6554184,1
C0232,2024-03-15,Transport,PharmaCo Enterprises,29000000,Office Supplies,Immediate procurement of equipment for department,16650806,2
C0233,2024-07-13,Urban Development,EduSupply Solutions,949790,Construction,Purchase of 181 vehicles for government offices,983126,5
C0234,2024-06-29,Education,SmartCity Developers,9464948,Medical Supplies,Purchase of 378 laptops for government offices,10119893,7
C0235,2024-12-08,Education,QuickOffice Supplies,1000000,Maintenance,Emergency procurement of equipment for department,691468,1
C0236,2024-08-21,Education,ABC Technologies Pvt Ltd,9913185,Maintenance,Purchase of 387 vehicles for government offices,10621060,6
C0237,2024-10-09,Social Welfare,GreenTech Industries,479412,Construction,Purchase of 58 servers for government offices,472564,5
C0238,2024-02-24,IT Department,GreenTech Industries,8446692,Furniture,Purchase of 179 medicines for government offices,8235112,7
C0239,2024-02-10,Health,Urban Builders,4688496,IT Equipment,Purchase of 203 furniture for government offices,4602307,4
C0240,2024-02-17,Health,EduSupply Solutions,4829052,Furniture,Purchase of 409 desks for government offices,4622827,3
C0241,2024-11-26,Transport,PrimeVendor Corporation,10931987,Infrastructure,Purchase of 71 desks for government offices,11769368,7
C0242,2024-05-18,Education,QuickOffice Supplies,1200000,Construction,Urgent procurement of supplies for department,611588,1
C0243,2024-12-30,Agriculture,Auto Parts Ltd,444891,Construction,Purchase of 477 vehicles for government offices,455263,7
C0244,2024-12-18,Health,PharmaCo Enterprises,10236369,Furniture,Purchase of 273 desks for government offices,10184795,3
C0245,2024-06-16,Social Welfare,Auto Parts Ltd,5300000,Construction,Immediate procurement of vehicles for department,2863477,1
